GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,EventCode,QuadClass,GoldsteinScale,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Type,SOURCEURL
961414699,20201225,MOROCCO,POLICE,MAR,,190,4,-10.0,-4.54545454545455,25.0,-13.5,1,http://www.aps.dz/monde/114912-la-ligue-des-journalistes-et-ecrivains-sahraouis-en-europe-condamne-l-agression-marocaine-barbare-contre-des-militants-sahraouis
961613357,20201227,ARMY,,,,190,4,-10.0,-6.27177700348432,25.0,-13.5,1,http://www.elbilad.net/article/detail?id=112327
985968784,20210520,HUMAN RIGHTS GROUP,WESTERN SAHARA,,MAR,190,4,-10.0,-4.89130434782609,25.0,-13.5,1,https://www.middleeastmonitor.com/20210520-spain-court-summons-polisario-front-leader-in-war-crimes-case/
959435375,20201213,MILITARY WING,LIBYA,,LBY,190,4,-10.0,-3.08880308880309,25.0,-13.5,1,https://www.wsws.org/en/articles/2020/12/14/isra-d14.html
985750715,20210519,HUMAN RIGHTS GROUP,WESTERN SAHARA,,MAR,190,4,-10.0,-4.74860335195531,23.6609,-15.9532,4,http://www.msn.com/en-us/news/world/polisario-front-leader-ghali-served-with-spanish-court-summons-in-war-crime-case/ar-BB1gUbUD
927857965,20200606,CITIZEN,REFUGEE,,,192,4,-9.5,-1.18343195266273,25.0,-13.5,1,http://www.aps.dz/monde/105855-covid-19-aucun-cas-enregistre-dans-les-camps-des-refugies-sahraouis-et-les-territoires-liberes
955278052,20201119,MOROCCAN,MILITIA,MAR,,191,4,-9.5,-5.57768924302789,25.0,-13.5,1,https://www.sinnfein.ie/ga/contents/58888
987913681,20210601,SPAIN,MOROCCO,ESP,MAR,190,4,-10.0,-6.12582781456953,25.0,-13.5,1,https://www.alquds.co.uk/%D9%82%D8%A7%D8%B6-%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A-%D9%8A%D8%B3%D8%AA%D9%85%D8%B9-%D8%A5%D9%84%D9%89-%D8%B2%D8%B9%D9%8A%D9%85-%D8%AC%D8%A8%D9%87%D8%A9-%D8%A7%D9%84%D8%A8%D9%88%D9%84%D9%8A%D8%B3/
985504645,20210518,MOROCCAN,SPAIN,MAR,ESP,192,4,-9.5,-3.60010320062145,25.0,-13.5,1,https://www.yeovilexpress.co.uk/news/national/19310141.spain-morocco-square-off-6-000-migrants-arrive-north-africa-enclave/
966351109,20210126,MOROCCO,THE UN,MAR,,194,4,-10.0,-1.16648992576882,21.2167,-17.0167,4,https://www.trtworld.com/opinion/biden-will-alter-rhetoric-but-won-t-change-course-on-western-sahara-43595
956022710,20201123,ARMY,,,,190,4,-10.0,-7.5,22.5367,-14.294,4,https://www.ennaharonline.com/%D9%82%D8%B0%D8%A7%D8%A6%D9%81-%D8%A7%D9%84%D8%A8%D9%88%D9%84%D9%8A%D8%B2%D8%A7%D8%B1%D9%8A%D9%88-%D8%AA%D8%AF%D9%81%D9%86-%D9%85%D8%B9%D9%86%D9%88%D9%8A%D8%A7%D8%AA-%D8%AC%D9%8A%D8%B4-%D8%A7/
971922868,20210227,,MILITARY,,,190,4,-10.0,-2.29990800367986,26.8161,-12.8083,4,http://www.lexpressiondz.com/info-en-continu/proclamation-de-la-rasd-des-acquis-politiques-et-diplomatiques-sur-fond-de-victoires-militaires-325590
954919551,20201117,ALGERIA,WESTERN SAHARA,DZA,MAR,196,4,-9.5,0.30769230769231,21.2167,-17.0167,4,https://english.aawsat.com/home/article/2630106/algerian-party-calls-sahara-referendum-boosting-maghreb-unity
985746297,20210519,HUMAN RIGHTS GROUP,WESTERN SAHARA,,MAR,190,4,-10.0,-5.16717325227963,25.0,-13.5,1,https://www.msn.com/en-us/news/world/update-1-polisario-front-leader-ghali-served-with-spanish-court-summons-in-war-crime-case/ar-BB1gTYN0
987029936,20210526,SECURITY FORCE,,,,180,4,-9.0,-12.0370370370371,26.1147,-14.3892,4,https://article.wn.com/view/2021/05/26/Morocco_WesternSahara_Further_information_Sahrawi_activist_a/
988563470,20210604,,WESTERN SAHARA,,MAR,190,4,-10.0,-3.35195530726257,25.0,-13.5,1,https://www.la-croix.com/Monde/Migrants-bras-fer-durcit-entre-Maroc-lEspagne-2021-06-04-1201159370
994932828,20210714,,POLICE,,,190,4,-10.0,-4.68368840461863,23.6609,-15.9532,4,https://www.amnestyalgerie.org/2021/07/14/maroc-et-sahara-occidental-repression-ciblee-de-militants-saharouis/
987363129,20210528,WESTERN SAHARA,HUMAN RIGHTS GROUP,MAR,,1822,4,-9.0,-4.57317073170732,25.0,-13.5,1,https://www.euronews.com/2021/05/27/us-spain-polisario-court
972274060,20210302,MOROCCAN,,MAR,,192,4,-9.5,-0.96525096525097,25.0,-13.5,1,https://www.aps.dz:443/monde/118414-le-polisario-reitere-son-engagement-a-defendre-la-souverainete-du-peuple-sahraoui
998664646,20210809,WESTERN SAHARA,,MAR,,190,4,-10.0,-1.93548387096774,25.0,-13.5,1,https://www.aps.dz/monde/125907-l-apls-mene-de-nouvelles-attaques-contre-les-forces-d-occupation-marocaines
1060531971,20220828,MOROCCO,TUNISIA,MAR,TUN,190,4,-10.0,2.53623188405797,25.0,-13.5,1,http://lefaso.net/spip.php?article115650
1059520098,20220821,SPAIN,MOROCCO,ESP,MAR,190,4,-10.0,1.81818181818182,25.0,-13.5,1,https://ewn.co.za/0001/01/01/morocco-king-calls-for-unequivocal-support-over-w-sahara
1061074873,20220901,MOROCCAN,POPULATION,MAR,,192,4,-9.5,-1.69699950811609,23.6609,-15.9532,4,https://www.counterpunch.org/2022/09/01/western-sahara-conflict-analyzing-the-illegal-occupation-1973-present/
1039191203,20220413,,WESTERN SAHARA,,MAR,190,4,-10.0,-1.19695321001088,27.135,-13.1625,4,https://english.alaraby.co.uk/analysis/why-spain-wading-morocco-and-algerias-rivalry
1038553222,20220409,SPANISH,,ESP,,190,4,-10.0,0.0,25.0,-13.5,1,https://allafrica.com/stories/202204090104.html
1038364485,20220408,SPAIN,HOSPITAL,ESP,,192,4,-9.5,0.83194675540766,25.0,-13.5,1,https://english.aawsat.com/home/article/3579786/spanish-pm-visits-morocco-show-reconciliation-between-both-countries
1034913716,20220320,HOSPITAL,WESTERN SAHARA,,MAR,182,4,-9.5,0.35671819262782,25.0,-13.5,1,https://arabic.euronews.com/2022/03/20/algeria-calls-it-s-ambassador-in-spain-after-changing-position-of-western-sahara
962398895,20210102,,WESTERN SAHARA,,MAR,190,4,-10.0,-7.57097791798107,25.0,-13.5,1,http://www.aps.dz/monde/115296-le-peuple-sahraoui-frustre-par-l-inaction-de-l-onu-face-aux-violations-marocaines
961441208,20201226,,MOROCCO,,MAR,190,4,-10.0,-2.00803212851406,25.0,-13.5,1,http://lecourrier-dalgerie.com/son-retour-au-pays-donnera-un-coup-daccelerateur-a-plusieurs-chantiers-les-dossiers-qui-attendent-le-president/
985731576,20210519,WESTERN SAHARA,WESTERN SAHARA,MAR,MAR,190,4,-10.0,-10.8333333333334,25.0,-13.5,1,https://www.reuters.com/world/spain-high-court-issues-war-crime-case-summons-against-polisario-front-leader-2021-05-19/
953672975,20201101,MOROCCO,,MAR,,190,4,-10.0,-0.96774193548387,25.0,-13.5,1,https://www.sierraleonetimes.com/news/266840054/security-council-re-un-mission-mandate-in-western-sahara-for-a-year
987029942,20210526,SECURITY FORCE,,,,1821,4,-9.0,-12.0370370370371,26.1147,-14.3892,4,https://article.wn.com/view/2021/05/26/Morocco_WesternSahara_Further_information_Sahrawi_activist_a/
1009269217,20211014,,WESTERN SAHARA,,MAR,190,4,-10.0,-3.9950602037666,23.6609,-15.9532,4,https://www.crisisgroup.org/middle-east-north-africa/north-africa/western-sahara/227-relaunching-negotiations-over-western-sahara
998901271,20210811,,WESTERN SAHARA,,MAR,195,4,-10.0,-2.89256198347108,27.4143,-9.04784,4,https://fr.allafrica.com/stories/202108110456.html
1010350043,20211021,MOROCCAN,CIVILIAN,MAR,,195,4,-10.0,-5.00736377025037,25.0,-13.5,1,https://www.echoroukonline.com/%D8%B7%D8%A7%D8%A6%D8%B1%D8%A7%D8%AA-%D8%A8%D8%AF%D9%88%D9%86-%D8%B7%D9%8A%D8%A7%D8%B1-%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AA%D9%82%D8%B5%D9%81-%D9%85%D8%AF%D9%86%D9%8A%D9%8A%D9%86-%D8%B5%D8%AD
1015381145,20211121,MOROCCAN,CIVILIAN,MAR,,190,4,-10.0,-6.60919540229885,25.0,-13.5,1,https://www.lnr-dz.com/2021/11/20/12-civils-tues-dans-une-attaque-marocaine-par-des-drones/
1013284599,20211108,RABAT,,MAR,,193,4,-10.0,-5.24781341107872,21.2167,-17.0167,4,https://www.reuters.com/article/us-morocco-westernsahara-idUSKBN27U0GE
1013007913,20211106,TUNIS,MOROCCO,TUN,MAR,190,4,-10.0,-4.87588652482269,23.6609,-15.9532,4,https://www.msn.com/en-us/news/world/why-is-the-western-sahara-conflict-heating-up/ar-AAQoeYu
1005229001,20210921,SECURITY FORCE,ACTIVIST,,,171,4,-9.2,-7.38193489225126,27.135,-13.1625,4,https://www.lawfareblog.com/western-sahara-biden-administration-and-human-rights
958973756,20201110,,MOROCCAN,,MAR,190,4,-10.0,-2.78810408921933,25.0,-13.5,1,https://thehill.com/homenews/house/529705-top-house-democrat-warns-against-trumps-western-sahara-designation
954726481,20201114,MOROCCAN,WESTERN SAHARA,MAR,MAR,190,4,-10.0,-4.92424242424242,21.2167,-17.0167,4,https://www.rfi.fr/en/wires/20201114-polisario-says-new-fighting-wsahara
985671363,20210519,MOROCCO,SPAIN,MAR,ESP,190,4,-10.0,-3.03030303030303,25.0,-13.5,1,https://www.nytimes.com/2021/05/18/briefing/gaza-crisis-spain-migrants-coronavirus.html
987975706,20210601,SPANISH,WESTERN SAHARA,ESP,MAR,1822,4,-9.0,-7.37327188940092,25.0,-13.5,1,https://www.rfi.fr/fr/afrique/20210601-espagne-le-chef-du-front-polisario-est-libre-de-quitter-le-pays
962136278,20201231,WESTERN SAHARA,FIGHTER,MAR,,190,4,-10.0,-5.1082731815658,25.0,-13.5,1,http://pnn.ps/news/562627
987942858,20210601,WESTERN SAHARA,HUMAN RIGHTS GROUP,MAR,,1822,4,-9.0,-5.26315789473684,25.0,-13.5,1,https://english.aawsat.com/home/article/3003321/polisario-head-appear-spanish-high-court-hearing-tuesday
979240271,20210411,POLICE CHIEF,MOROCCO,,MAR,190,4,-10.0,-4.50450450450451,26.0928,-10.6089,4,http://www.naharnet.com/stories/en/280800
970071591,20210217,WESTERN SAHARA,,MAR,,1822,4,-9.0,-3.93258426966292,26.1147,-14.3892,4,https://www.spsrasd.info/news/en/articles/2021/02/16/31222.html
